id;socle;partie;titres;chapitres;numero_article_isole;texte_integral;texte_simplifie;affichage_article;mots_cles
74;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;21-2-3-2;"Article 21-2-3-2 Missions
La présidence assure la convocation aux réunions des représentants de la CPST, la préparation de l'ordre du jour et l'animation des débats. La présidence s'appuie pour ce faire sur le secrétariat de la branche.";;Article 21-2-3-2 Missions;missions, CPST,
75;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;21-2-4;"Article 21-2-4 Secrétariat
Le secrétariat de la CPST est assuré par l'organisation professionnelle d'employeurs la plus représentative.
Le rôle du secrétariat consiste à effectuer les t‚ches administratives liées au bon fonctionnement et à la bonne tenue des réunions de la CPST. Il assure à ce titre, l'interface administrative avec l'ensemble des membres de la CPST.";;Article 21-2-4 Secrétariat;fonctionnement, liées, professionnelle, CPST,
76;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;21-2-5;Article 21-2-5 Organisation des réunions;;Article 21-2-5 Organisation des réunions;CPST, organisation
77;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;21-2-5-1;"Article 21-2-5-1 Périodicité des réunions
La CPST se réunit au minimum trois (3) fois par an.";Les commissions régionales (CPST) ont un budget pour fonctionner. Cet argent sert à payer le matériel de bureau, les locations de salles pour les réunions et les frais de secrétariat. Le budget est voté chaque année par les membres de la commission. L'APNI surveille les dépenses pour que l'argent serve bien à la santé et à la sécurité au travail.;Article 21-2-5-1 Périodicité des réunions;CPST, période
78;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;21-2-5-2;"Article 21-2-5-2 Convocation, ordre du jour et procès-verbaux
Les représentants sont convoqués :
à l'initiative de la présidence paritaire ;
ou sur demande écrite adressée au secrétariat, quel qu'en soit le support :
soit d'au moins deux (2) organisations syndicales membres de la CPPNI, quel que soit leur poids respectif et cumulé de représentativité ;
soit d'une ou plusieurs organisations syndicales membres de la CPPNI dont le poids de représentativité au sens de l'arrêté afférent est supérieur ou égal à trente pour cent (30 %) ;
soit de la majorité des organisations professionnelles membres de la CPPNI dont le poids de représentativité au sens de l'arrêté afférent est supérieur ou égal à cinquante pour cent (50 %).
Pour chaque réunion, le secrétariat adresse aux représentants de la CPST au plus tard quinze (15) jours calendaires avant la réunion, la convocation accompagnée de l'ordre du jour, des documents nécessaires à sa tenue et aux délibérations, ainsi que le projet de procès-verbal.
Les organisations syndicales disposent d'un délai courant jusqu'à sept (7) jours calendaires avant la tenue de la réunion pour adresser leurs éventuelles remarques sur le projet de procès-verbal.
Au plus tard trois (3) jours calendaires avant la tenue de la réunion, le secrétariat adresse le nouveau projet de procès-verbal.";Pour les commissions régionales (CPST), les règles de remboursement sont les mêmes. Les membres reçoivent de l'argent pour leurs déplacements. Si une personne doit dormir sur place car la réunion finit tard ou commence tôt, l'hôtel est payé selon un forfait fixe. Les justificatifs doivent être envoyés rapidement après la réunion.;Article 21-2-5-2 Convocation, ordre du jour et procès-verbaux;CPST, convocation, ordre du jour
79;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;21-2-6;Article 21-2-6 Délibérations;;Article 21-2-6 Délibérations;CPST, délibération
80;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;21-2-6-1;"Article 21-2-6-1 Quorum
La CPST ne peut valablement délibérer que si le nombre de représentants titulaires ou suppléants présents est au moins égal à la moitié des représentants titulaires désignés au sein de chaque collège.";;Article 21-2-6-1 Quorum;CPST, quorum
81;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;21-2-6-2;"Article 21-2-6-2 Modalités de vote
Les votes s'effectuent par collège.
Aucune délibération ne peut être prise valablement sur un point ne figurant pas à l'ordre du jour de la réunion.
Chaque représentant titulaire dispose d'une voix. En son absence, son suppléant dispose d'une voix.
Les décisions de la CPST prises dans le cadre du présent article, le sont par accord constaté entre les collèges "" salariés "" et "" employeurs "".
Le vote d'un collège est acquis à la majorité simple des représentants présents appartenant à celui-ci.
Si la majorité simple n'est pas obtenue dans chaque collège, le point soumis au vote peut être reporté à la réunion suivante de la CPST à la demande de l'un ou l'autre collège.";;Article 21-2-6-2 Modalités de vote;CPST, Modelité, vote
82;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;21-2-7;"Article 21-2-7 Présence de tiers aux réunions
La CPST se réserve le droit de convier ponctuellement tout tiers, non membre de la CPST, susceptible de concourir au bon exercice de ses missions.";;Article 21-2-7 Présence de tiers aux réunions;CPST, tier
83;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22;"Article 22  Commission Paritaire Nationale de l'Emploi et de la Formation Professionnelle
Il est institué une Commission Paritaire Nationale de l'Emploi et de la Formation Professionnelle (CPNEFP) dans la branche du secteur des particuliers employeurs et de l'emploi à domicile.";;Article 22  Commission Paritaire Nationale de l'Emploi et de la Formation Professionnelle;CPNEFP, domicile, formation, professionnelle
84;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-1;"Article 22-1 Missions de la CPNEFP
La CPNEFP a notamment pour mission de :
définir les priorités en matière de formation professionnelle et les mettre oeuvre ;
contribuer au développement des parcours de professionnalisation et encourager les salariés à s'engager dans une démarche de certification des compétences ;
prendre des initiatives afin de pouvoir obtenir des pouvoirs publics les engagements nécessaires au développement de la formation professionnelle ;
mettre en place les moyens d'information à l'intention des particuliers employeurs et des salariés sur les actions de formation et les modalités de leur mise en oeuvre ;
préparer les accords collectifs relatifs à la professionnalisation, préalablement à leur négociation et à leur conclusion dans le cadre de la CPPNI visée à l'article 19 du présent socle commun ;
établir chaque année un rapport qui dresse un bilan, à destination des partenaires sociaux de la branche, des actions de professionnalisation engagées par les branches au cours de l'année écoulée et définir les objectifs pour l'année à venir.
Plus spécifiquement, la CPNEFP est chargée de :
- déterminer et conduire la politique de certification des compétences du secteur des particuliers employeurs et de l'emploi à domicile ;
- prendre toute décision utile au déploiement de processus pédagogiques innovants afin de favoriser l'accès à la formation des salariés ;
-  mettre en oeuvre les orientations définies en matière de gestion prévisionnelle des emplois et des compétences pour le secteur des particuliers employeurs et de l'emploi à domicile.";La formation professionnelle est un droit. Le salarié peut demander à suivre des cours pour améliorer ses compétences. L'employeur peut aussi proposer des formations. Pendant la formation, le salaire est maintenu. Les frais de transport et de repas sont souvent remboursés par des organismes spécialisés.;Article 22-1 Missions de la CPNEFP;CPNEFP, domicile, développement, formation, missions, professionnelle
85;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2;"Article 22-2 Fonctionnement de la CPNEFP Article 22-2-1 Composition
La CPNEFP est composée d'un collège "" salarié "" et d'un collège "" employeur "".
La CPNEFP se compose d'un nombre égal de représentants des organisations syndicales et professionnelles représentatives dans le champ d'application conventionnel de la présente convention collective.
Elle est composée :
Pour le collège "" salarié "" :
d'un (1) représentant titulaire et d'un (1) représentant suppléant désignés par chaque organisation syndicale de salariés représentative dans le champ d'application conventionnel de la présente convention collective.
Pour le collège "" employeur "" :
d'un nombre de représentants désignés par les organisations professionnelles d'employeurs représentatives égal au total des représentants désignés par les organisations syndicales représentatives dans le champ d'application conventionnel de la présente convention collective.
Chaque organisation professionnelle d'employeurs représentative dans la branche dispose d'un nombre de représentants équivalent. Il est précisé que dans l'hypothèse o˘ du fait du calcul, certains sièges devaient être partagés, ceux-ci sont dévolus à l'organisation professionnelle la plus représentative au sein de la branche.
Les représentants suppléants ne siègent qu'en cas d'absence des représentants titulaires.";;Article 22-2 Fonctionnement de la CPNEFP Article 22-2-1 Composition;CPNEFP ,cas, employeur, fonctionnement, professionnelle, salarié
86;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-2;"Article 22-2-2 Qualité pour siéger
Chaque organisation syndicale ou professionnelle reconnue représentative dans le champ d'application conventionnel de la présente convention collective désigne souverainement ses représentants pour siéger au sein de la CPNEFP, conformément aux dispositions de l'article 16 du présent socle commun.
Le mandat des représentants des organisations devenues non représentatives prend automatiquement fin à compter de la publication de l'arrêté ministériel fixant la liste des organisations syndicales ou professionnelles reconnues représentatives dans le présent champ d'application conventionnel de la présente convention collective.";Pour siéger dans les commissions santé (CPST), les représentants sont choisis par leurs syndicats. Ils doivent bien connaître les problèmes du travail à domicile. Si un représentant change de métier ou quitte son syndicat, il doit être remplacé dans la commission. Le but est d'avoir toujours des personnes actives pour défendre la sécurité.;Article 22-2-2 Qualité pour siéger;CPNEFP, dispositions, professionnelle
87;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-3;Article 22-2-3 Présidence paritaire;;Article 22-2-3 Présidence paritaire;CPNEFP, présidence
88;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-3-1;"Article 22-2-3-1 Nomination
Les représentants à la CPNEFP nomment un Président et un Vice-président appartenant chacun à un collège différent.
Le Président et le Vice-président sont choisis par leur collège respectif parmi les représentants à la CPNEFP.
La présidence de la CPNEFP est assurée alternativement par le collège "" employeur "" et par le collège
"" salarié "" tous les deux (2) ans.";;Article 22-2-3-1 Nomination;CPNEFP, nomination
89;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-3-2;"Article 22-2-3-2 Missions
La présidence assure la convocation aux réunions des représentants de la CPNEFP, la préparation de l'ordre du jour et l'animation des débats. La présidence s'appuie pour ce faire, sur le secrétariat de la branche.
Elle a également pour mission de :
représenter la CPNEFP vis-à-vis des tiers ;
établir toute liaison et coordination nécessaires avec les instances publiques, professionnelles ou privées ayant des attributions dans les domaines de l'emploi et de la formation ;
assurer le rôle de correspondant de leur collège respectif.";;Article 22-2-3-2 Missions;CPNEFP, formation, missions
90;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-4;"Article 22-2-4 Secrétariat
Le secrétariat de la CPNEFP est assuré par l'organisation professionnelle d'employeurs la plus représentative.
Le rôle du secrétariat consiste à effectuer les t‚ches administratives liées au bon fonctionnement et à la bonne tenue des réunions de la CPNEFP. Il assure à ce titre l'interface administrative avec l'ensemble des membres de la CPNEFP.";;Article 22-2-4 Secrétariat;CPNEFP, fonctionnement, liées, professionnelle, secrétariat
91;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-5;Article 22-2-5 Organisation des réunions;;Article 22-2-5 Organisation des réunions;CPNEFP, réunion
92;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-5-1;"Article 22-2-5-1 Périodicité des réunions
La CPNEFP se réunit au minimum deux (2) fois par an.";;Article 22-2-5-1 Périodicité des réunions;CPNEFP, réunion période
93;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-5-2;"Article 22-2-5-2 Convocation, ordre du jour et procès-verbaux
Les représentants sont convoqués :
à l'initiative de la présidence paritaire ;
ou sur demande écrite adressée au secrétariat, quel qu'en soit le support :
soit d'au moins deux (2) organisations syndicales membres de la CPPNI, quel que soit leur poids respectif et cumulé de représentativité ;
soit d'une ou plusieurs organisations syndicales membres de la CPPNI dont le poids de représentativité au sens de l'arrêté afférent, est supérieur ou égal à trente pour cent (30 %) ;
soit de la majorité des organisations professionnelles membres de la CPPNI dont le poids de représentativité au sens de l'arrêté afférent, est supérieur ou égal à cinquante pour cent (50 %).
Pour chaque réunion, le secrétariat adresse aux représentants de la CPNEFP au plus tard quinze (15) jours calendaires avant la réunion, la convocation accompagnée de l'ordre du jour, des documents nécessaires à sa tenue et aux délibérations, ainsi que le projet de procès-verbal.
Les organisations syndicales disposent d'un délai courant jusqu'à sept (7) jours calendaires avant la tenue de la réunion pour adresser leurs éventuelles remarques sur le projet de procès-verbal.
Au plus tard trois (3) jours calendaires avant la tenue de la réunion, le secrétariat adresse le nouveau projet de procès-verbal.";Les membres qui participent aux réunions de la commission (CPST) peuvent se faire rembourser leurs frais. Cela comprend le ticket de transport (train en 2ème classe ou indemnités kilométriques) et les repas (selon un forfait). Si la réunion est loin, les frais d'hôtel sont aussi payés. Il faut envoyer les justificatifs à l'organisme gestionnaire pour recevoir l'argent.;Article 22-2-5-2 Convocation, ordre du jour et procès-verbaux;CPNEFP, convocation
94;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-6;Article 22-2-6 Délibérations;;Article 22-2-6 Délibérations; CPNEFP, délibération
95;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-6-1;"Article 22-2-6-1 Quorum
La CPNEFP ne peut valablement délibérer que si le nombre de représentants titulaires ou suppléants présents est au moins égal à la moitié des représentants titulaires désignés au sein de chaque collège.";;Article 22-2-6-1 Quorum;CPNEFP, quorum
96;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-6-2;"Article 22-2-6-2 Modalités de vote
Les votes s'effectuent par collège.
Aucune délibération ne peut être prise valablement sur un point ne figurant pas à l'ordre du jour de la réunion.
Chaque représentant titulaire dispose d'une voix. En son absence, son suppléant dispose d'une voix.
Les décisions de la CPNEFP prises dans le cadre du présent article, le sont par accord constaté entre les collèges "" salariés "" et "" employeurs "".
Le vote d'un collège est acquis à la majorité simple des représentants présents appartenant à celui-ci.
Si la majorité simple n'est pas obtenue dans chaque collège, le point soumis au vote peut être reporté à la réunion suivante de la CPNEFP à la demande de l'un ou l'autre collège.";;Article 22-2-6-2 Modalités de vote;CPNEFP, Modalité
97;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;22-2-7;"Article 22-2-7 Présence de tiers aux réunions
La CPNEFP se réserve le droit de convier ponctuellement tout tiers, non membre de la CPNEFP, susceptible de concourir au bon exercice de ses missions.
En fonction des sujets inscrits à l'ordre du jour, l'APNI pourra être invitée à participer à la réunion de la CPNEFP.
Aucune délibération ne peut être prise valablement sur un point ne figurant pas à l'ordre du jour de la réunion. Chaque représentant titulaire dispose d'une voix. En son absence son suppléant dispose d'une voix.
Les décisions de la CPSP prises dans le cadre du présent article, le sont par accord constaté entre les collèges "" salariés "" et "" employeurs "".
Le vote d'un collège est acquis à la majorité simple des représentants présents appartenant à celui-ci
Si la majorité simple n'est pas obtenue dans chaque collège, le point soumis au vote peut être reporté à la réunion suivante de la CPSP à la demande de l'un ou l'autre collège.";;Article 22-2-7 Présence de tiers aux réunions;CPNEFP, tier
98;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23-2-7;"Article 23-2-7 Présence de tiers aux réunions
La CPSP se réserve le droit de convier ponctuellement tout tiers, non membre de la CPSP, susceptible de concourir au bon exercice de ses missions.";;Article 23-2-7 Présence de tiers aux réunions;CPNEFP, tier
99;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;24;"Article 24  Commission Paritaire Nationale de Suivi et de Consultation des Classifications
Une commission paritaire nationale de suivi et de consultation de la classification (CPNSCC) des salariés relevant du socle spécifique "" salarié du particulier employeur "", est instituée.";;Article 24  Commission Paritaire Nationale de Suivi et de Consultation des Classifications;CPNSCC employeur, particulier, salarié
100;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;24-1;"Article 24-1 Missions de la CPNSCC
La CPNSCC a pour mission principale de :
veiller à la bonne mise en oeuvre de la grille de classification prévue à l'annexe n∞ 7 de la présente convention collective ;
d'identifier et de coter, au moyen de la méthode de cotation fixée à l'annexe n∞ 7, de nouveaux emplois repères et de les proposer à la CPPNI visée à l'article 19 du socle commun de la présente convention collective.
La CPNSCC peut dans le cadre de ses travaux s'appuyer sur les travaux de la CPNEFP.";;Article 24-1 Missions de la CPNSCC;CPNSCC, missions
101;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;24-2;"Article 24-2 Fonctionnement de la CPNSCC Article 24-2-1 Composition
La CPNSCC se compose d'un nombre égal de représentants des organisations syndicales et profession- nelles représentatives dans le champ d'application conventionnel de la présente convention collective.
Elle est composée :
Pour le collège "" salarié "" :
d'un (1) représentant titulaire et d'un (1) représentant suppléant désignés par chaque organisation syndicale de salariés représentative dans le champ d'application conventionnel de la présente convention collective.";;Article 24-2 Fonctionnement de la CPNSCC Article 24-2-1 Composition;CPNSCC, fonctionnement, salarié
102;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23;"Article 23  Commission Paritaire de Suivi et de Pilotage des régimes de protection sociale complémentaire
Il est institué une commission paritaire de suivi et de pilotage des régimes de protection sociale complémentaire (CPSP) dans la branche du secteur des particuliers employeurs et de l'emploi à domicile.";Les syndicats participent à la gestion des organismes de retraite et de prévoyance. Ils vérifient que l'argent des cotisations est bien utilisé pour protéger les salariés. Ils participent aussi à la création de nouveaux services pour les familles et les employés du secteur (aide au logement, vacances).;Article 23  Commission Paritaire de Suivi et de Pilotage des régimes de protection sociale complémentaire;CPSP, protection, sociale
103;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23-1;"Article 23-1 Missions de la CPSP
La CPSP a deux missions principales :
Le suivi et le pilotage du régime de prévoyance ;
Le suivi et le pilotage du régime de l'indemnité conventionnelle de départ volontaire à la retraite.
Dans le cadre du suivi du régime de prévoyance et du régime de l'indemnité conventionnelle de départ volontaire à la retraite, la CPSP :
suit les résultats techniques et les données statistiques de ces deux régimes ;
est tenue informée des questions administratives et techniques.
Dans le cadre du pilotage du régime de prévoyance et du régime de l'indemnité conventionnelle de départ volontaire à la retraite, la CPSP :
assure la promotion de ces deux régimes ;
opère un réexamen approfondi des conditions de ces deux régimes, pour la première fois, dans les 3 (trois) années qui suivent la date d'effet du présent accord et, ensuite, au minimum tous les 5 (cinq) ans ;
et propose à la CPPNI toute amélioration ou modification de ces deux régimes.
Elle peut proposer une évolution des annexes 3 et 4 de la présente convention collective, à la CPPNI, visée à l'article 19 du présent socle commun, qui statue alors selon les règles qui lui sont propres.";;Article 23-1 Missions de la CPSP;CPSP, missions, retraite, régime
104;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23-2;"Article 23-2 Fonctionnement de la CPSP Article 23-2-1 Composition
La CPSP est composée d'un collège "" salarié "" et d'un collège "" employeur "".
La CPSP se compose d'un nombre égal de représentants des organisations syndicales et professionnelles représentatives dans le champ d'application conventionnel de la présente convention collective.
Elle est composée :
Pour le collège "" salarié "" :
d'un (1) représentant titulaire et d'un (1) représentant suppléant désignés par chaque organisation syndicale de salariés représentative dans le champ d'application conventionnel de la présente convention collective.
Pour le collège "" employeur "" :
d'un nombre de représentants désignés par les organisations professionnelles d'employeurs représentatives égal au total des représentants désignés par les organisations syndicales représentatives dans le champ d'application conventionnel de la présente convention collective.
Chaque organisation professionnelle d'employeurs représentative dans la branche dispose d'un nombre de représentants équivalent. Il est précisé que dans l'hypothèse o˘ du fait du calcul, certains sièges devaient être partagés, ceux-ci sont dévolus à l'organisation professionnelle la plus représentative au sein de la branche.
Les représentants suppléants ne siègent qu'en cas d'absence des représentants titulaires.";;Article 23-2 Fonctionnement de la CPSP Article 23-2-1 Composition;CPSP, cas, employeur, fonctionnement, professionnelle, salarié
105;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23-2-2;"Article 23-2-2 Qualité pour siéger
Chaque organisation syndicale ou professionnelle reconnue représentative dans le champ de la présente convention collective désigne souverainement ses représentants pour siéger au sein de la CPSP. Cette désignation est effectuée conformément aux dispositions de l'article 16 du présent socle commun.
En tout état de cause, ont qualité pour siéger les représentants remplissant les conditions cumulatives suivantes :
ne pas exercer d'activité salariée au sein d'un organisme assureur ou d'un groupe auquel un tel organisme appartient,
ne pas exercer ou avoir exercé, au cours des cinq (5) dernières années, des fonctions délibérantes ou dirigeantes au sein d'un organisme assureur ou d'un groupe auquel un tel organisme appartient.
Le mandat des représentants des organisations devenues non représentatives prend automatiquement fin à compter de la publication de l'arrêté ministériel fixant la liste des organisations syndicales ou professionnelles reconnues représentatives dans le champ d'application conventionnel de la présente convention collective.";;Article 23-2-2 Qualité pour siéger;CPSP, dispositions, professionnelle
106;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23-2-3;Article 23-2-3 Présidence paritaire;;Article 23-2-3 Présidence paritaire;CPSP, présidence
107;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23-2-3-1;"Article 23-2-3-1 Nomination
Les représentants à la CPSP nomment un Président et un Vice-président appartenant chacun à un collège différent.
Le Président et le Vice-président sont choisis par leur collège respectif parmi les représentants à la CPSP. La présidence de la CPSP est assurée alternativement par le collège "" employeur "" et par le collège "" salarié "" tous les deux (2) ans.
La première présidence est assurée par le collège "" employeurs "".";;Article 23-2-3-1 Nomination;CPSP, employeur, salarié
108;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23-2-3-2;"Article 23-2-3-2 Missions
La présidence assure la convocation aux réunions des représentants de la CPSP, la préparation de l'ordre du jour et l'animation des débats. La présidence s'appuie pour ce faire sur le secrétariat de la CPSP.";;Article 23-2-3-2 Missions;CPSP, missions
109;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23-2-4;"Article 23-2-4 Secrétariat
Le secrétariat de la CPSP est assuré par l'organisation professionnelle d'employeurs la plus représentative.
Le rôle du secrétariat consiste à effectuer les t‚ches administratives liées au bon fonctionnement et à la bonne tenue des réunions de la CPSP. Il assure à ce titre l'interface administrative avec l'ensemble des membres de la CPSP.";;Article 23-2-4 Secrétariat;CPSP, fonctionnement, liées, professionnelle, secrétariat
110;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23-2-5;Article 23-2-5 Organisation des réunions;;Article 23-2-5 Organisation des réunions;CPSP, réunion
111;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23-2-5-1;"Article 23-2-5-1 Périodicité des réunions
La CPSP se réunit au minimum deux (2) fois par an.";;Article 23-2-5-1 Périodicité des réunions;CPSP, réunion
112;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;23-2-5-2;"Article 23-2-5-2 Convocation, ordre du jour et procès-verbaux
Les représentants sont convoqués :
à l'initiative de la présidence paritaire ;
ou sur demande écrite adressée au secrétariat, quel qu'en soit le support :
soit d'au moins deux (2) organisations syndicales membres de la CPPNI, quel que soit leur poids respectif et cumulé de représentativité ;
soit d'une ou plusieurs organisations syndicales membres de la CPPNI dont le poids de représentativité au sens de l'arrêté afférent, est supérieur ou égal à trente pour cent (30 %) ;
soit de la majorité des organisations professionnelles membres de la CPPNI dont le poids de représentativité au sens de l'arrêté afférent, est supérieur ou égal à cinquante pour cent (50 %).
Pour chaque réunion, le secrétariat adresse aux représentants de la CPSP au plus tard quinze (15) jours calendaires avant la réunion, la convocation accompagnée de l'ordre du jour, des documents nécessaires à sa tenue et aux délibérations, ainsi que le projet de procès-verbal.
Les organisations syndicales disposent d'un délai courant jusqu'à sept (7) jours calendaires avant la tenue de la réunion pour adresser leurs éventuelles remarques sur le projet de procès-verbal.
Au plus tard trois (3) jours calendaires avant la tenue de la réunion, le secrétariat adresse le nouveau projet de procès-verbal.";;Article 23-2-5-2 Convocation, ordre du jour et procès-verbaux;CPSP, convocation
